query,intent,entities
Is an ultrasound painful?,medical_query,{}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a thyroid test for  March 5th,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'March 5th'}"
Cancel my CT scan appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'August 30th'}"
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a cholesterol test for tomorrow August 30th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'tomorrow', 'DATE': 'August 30th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Is it safe to eat before a cholesterol test?,medical_query,{}
Retrieve my blood test results from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'September 2nd'}"
Cancel my CT scan appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'August 30th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my discharge summary from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'August 30th'}"
Retrieve my discharge summary from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'April 10th'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my  appointment for afternoon,cancel_test,{'TIME': 'afternoon'}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
How long does a CT scan take?,medical_query,{}
Cancel my  appointment for morning September 2nd,cancel_test,"{'TIME': 'morning', 'DATE': 'September 2nd'}"
Retrieve my X-ray report from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'June 21st'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for  August 30th,cancel_test,{'DATE': 'August 30th'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my blood test results from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'June 21st'}"
Cancel my CT scan appointment for tomorrow April 10th,cancel_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'tomorrow', 'DATE': 'April 10th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Cancel my thyroid test appointment for next week September 2nd,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week', 'DATE': 'September 2nd'}"
I want to book a MRI for in two days September 2nd,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'in two days', 'DATE': 'September 2nd'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my cholesterol test appointment for  April 10th,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'April 10th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my blood test appointment for tomorrow June 21st,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'tomorrow', 'DATE': 'June 21st'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my MRI appointment for next week March 5th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week', 'DATE': 'March 5th'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a ultrasound for  March 5th,book_test,"{'TEST_TYPE': 'ultrasound', 'DATE': 'March 5th'}"
Is an ultrasound painful?,medical_query,{}
Cancel my thyroid test appointment for in two days September 2nd,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'in two days', 'DATE': 'September 2nd'}"
Retrieve my prescription from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'July 15th'}"
Cancel my X-ray appointment for night March 5th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'night', 'DATE': 'March 5th'}"
Can I take my medications before an ECG?,medical_query,{}
Cancel my  appointment for afternoon June 21st,cancel_test,"{'TIME': 'afternoon', 'DATE': 'June 21st'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a ultrasound for afternoon April 10th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
Cancel my MRI appointment for  March 5th,cancel_test,"{'TEST_TYPE': 'MRI', 'DATE': 'March 5th'}"
I want to book a cholesterol test for in two days March 5th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'in two days', 'DATE': 'March 5th'}"
Cancel my  appointment for afternoon,cancel_test,{'TIME': 'afternoon'}
Is an ultrasound painful?,medical_query,{}
I want to book a blood test for next week March 5th,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next week', 'DATE': 'March 5th'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a cholesterol test for evening March 5th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'evening', 'DATE': 'March 5th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
I want to book a thyroid test for next week,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week'}"
Cancel my cholesterol test appointment for  July 15th,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'July 15th'}"
Cancel my ultrasound appointment for,cancel_test,{'TEST_TYPE': 'ultrasound'}
Cancel my cholesterol test appointment for evening,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'evening'}"
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
Retrieve my discharge summary from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'June 21st'}"
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
Cancel my  appointment for in two days,cancel_test,{'TIME': 'in two days'}
Is it safe to eat before a cholesterol test?,medical_query,{}
What should I wear for an X-ray?,medical_query,{}
Retrieve my blood test results from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'August 30th'}"
I want to book a X-ray for next week,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next week'}"
Cancel my cholesterol test appointment for night August 30th,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'night', 'DATE': 'August 30th'}"
Retrieve my MRI scan from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'August 30th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a cholesterol test for next month,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next month'}"
Retrieve my MRI scan from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'August 30th'}"
I want to book a X-ray for morning June 21st,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'morning', 'DATE': 'June 21st'}"
Is an ultrasound painful?,medical_query,{}
Is it safe to eat before a cholesterol test?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a MRI for night,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'night'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my MRI scan from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'July 15th'}"
Retrieve my X-ray report from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'September 2nd'}"
I want to book a cholesterol test for  June 21st,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'June 21st'}"
Can I take my medications before an ECG?,medical_query,{}
I want to book a MRI for next month September 2nd,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next month', 'DATE': 'September 2nd'}"
Can I take my medications before an ECG?,medical_query,{}
Cancel my  appointment for  April 10th,cancel_test,{'DATE': 'April 10th'}
Retrieve my MRI scan from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'September 2nd'}"
Cancel my ECG appointment for next week September 2nd,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'next week', 'DATE': 'September 2nd'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my blood test results from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'March 5th'}"
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
Cancel my  appointment for,cancel_test,{}
Is an ultrasound painful?,medical_query,{}
Cancel my X-ray appointment for  June 21st,cancel_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'June 21st'}"
I want to book a ECG for morning,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'morning'}"
I want to book a thyroid test for morning September 2nd,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'morning', 'DATE': 'September 2nd'}"
Retrieve my discharge summary from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'August 30th'}"
Retrieve my X-ray report from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'August 30th'}"
Cancel my X-ray appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'August 30th'}"
Cancel my  appointment for morning June 21st,cancel_test,"{'TIME': 'morning', 'DATE': 'June 21st'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Is an ultrasound painful?,medical_query,{}
I want to book a thyroid test for next week August 30th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week', 'DATE': 'August 30th'}"
I want to book a blood test for night,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'night'}"
Cancel my  appointment for  August 30th,cancel_test,{'DATE': 'August 30th'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my  appointment for evening September 2nd,cancel_test,"{'TIME': 'evening', 'DATE': 'September 2nd'}"
Cancel my  appointment for evening,cancel_test,{'TIME': 'evening'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Is it safe to eat before a cholesterol test?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
Retrieve my discharge summary from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'April 10th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Should I fast before my blood test?,medical_query,{}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my  appointment for morning April 10th,cancel_test,"{'TIME': 'morning', 'DATE': 'April 10th'}"
I want to book a cholesterol test for,book_test,{'TEST_TYPE': 'cholesterol test'}
Cancel my  appointment for afternoon April 10th,cancel_test,"{'TIME': 'afternoon', 'DATE': 'April 10th'}"
Cancel my  appointment for next week,cancel_test,{'TIME': 'next week'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a MRI for next week,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my discharge summary from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'March 5th'}"
Cancel my ultrasound appointment for night,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'night'}"
I want to book a ECG for in two days,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'in two days'}"
Cancel my X-ray appointment for  March 5th,cancel_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'March 5th'}"
Retrieve my prescription from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'April 10th'}"
How long does a CT scan take?,medical_query,{}
Cancel my X-ray appointment for night April 10th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'night', 'DATE': 'April 10th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my MRI appointment for in two days August 30th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'in two days', 'DATE': 'August 30th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Can I drink coffee before an ultrasound?,medical_query,{}
Retrieve my blood test results from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'April 10th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Do I need to avoid metal objects for an MRI?,medical_query,{}
I want to book a cholesterol test for  June 21st,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'June 21st'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my  appointment for afternoon April 10th,cancel_test,"{'TIME': 'afternoon', 'DATE': 'April 10th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for night June 21st,cancel_test,"{'TIME': 'night', 'DATE': 'June 21st'}"
I want to book a CT scan for  August 30th,book_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'August 30th'}"
Cancel my  appointment for,cancel_test,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Is it safe to eat before a cholesterol test?,medical_query,{}
Cancel my MRI appointment for morning April 10th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'morning', 'DATE': 'April 10th'}"
I want to book a cholesterol test for morning September 2nd,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'morning', 'DATE': 'September 2nd'}"
I want to book a ECG for  March 5th,book_test,"{'TEST_TYPE': 'ECG', 'DATE': 'March 5th'}"
I want to book a blood test for,book_test,{'TEST_TYPE': 'blood test'}
What should I wear for an X-ray?,medical_query,{}
Cancel my CT scan appointment for next month July 15th,cancel_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next month', 'DATE': 'July 15th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a blood test for evening September 2nd,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'evening', 'DATE': 'September 2nd'}"
Retrieve my MRI scan from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'March 5th'}"
Retrieve my discharge summary from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'March 5th'}"
Cancel my  appointment for evening June 21st,cancel_test,"{'TIME': 'evening', 'DATE': 'June 21st'}"
Cancel my thyroid test appointment for tomorrow August 30th,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'tomorrow', 'DATE': 'August 30th'}"
Cancel my blood test appointment for in two days June 21st,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'in two days', 'DATE': 'June 21st'}"
Can I drink coffee before an ultrasound?,medical_query,{}
Cancel my MRI appointment for afternoon March 5th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'afternoon', 'DATE': 'March 5th'}"
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a thyroid test for next week August 30th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week', 'DATE': 'August 30th'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my ECG appointment for tomorrow April 10th,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'tomorrow', 'DATE': 'April 10th'}"
I want to book a thyroid test for  August 30th,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'August 30th'}"
Cancel my cholesterol test appointment for  June 21st,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'June 21st'}"
Cancel my  appointment for next month July 15th,cancel_test,"{'TIME': 'next month', 'DATE': 'July 15th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my ECG appointment for morning April 10th,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'morning', 'DATE': 'April 10th'}"
I want to book a blood test for  July 15th,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'July 15th'}"
I want to book a CT scan for tomorrow September 2nd,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'tomorrow', 'DATE': 'September 2nd'}"
Cancel my MRI appointment for night August 30th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'night', 'DATE': 'August 30th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my blood test appointment for  September 2nd,cancel_test,"{'TEST_TYPE': 'blood test', 'DATE': 'September 2nd'}"
I want to book a thyroid test for afternoon August 30th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'afternoon', 'DATE': 'August 30th'}"
I want to book a ECG for tomorrow September 2nd,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'tomorrow', 'DATE': 'September 2nd'}"
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Can I drink coffee before an ultrasound?,medical_query,{}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my MRI scan from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'April 10th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a CT scan for next month,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next month'}"
I want to book a ultrasound for  April 10th,book_test,"{'TEST_TYPE': 'ultrasound', 'DATE': 'April 10th'}"
What should I wear for an X-ray?,medical_query,{}
Cancel my CT scan appointment for  July 15th,cancel_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'July 15th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
Cancel my  appointment for in two days August 30th,cancel_test,"{'TIME': 'in two days', 'DATE': 'August 30th'}"
I want to book a blood test for  August 30th,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'August 30th'}"
Cancel my  appointment for  April 10th,cancel_test,{'DATE': 'April 10th'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for afternoon,cancel_test,{'TIME': 'afternoon'}
I want to book a MRI for evening July 15th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'evening', 'DATE': 'July 15th'}"
Should I fast before my blood test?,medical_query,{}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my cholesterol test appointment for afternoon July 15th,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'afternoon', 'DATE': 'July 15th'}"
I want to book a thyroid test for  June 21st,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'June 21st'}"
Retrieve my X-ray report from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'July 15th'}"
I want to book a cholesterol test for  March 5th,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'March 5th'}"
Retrieve my MRI scan from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'March 5th'}"
Should I fast before my blood test?,medical_query,{}
Retrieve my X-ray report from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'April 10th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
How long does a CT scan take?,medical_query,{}
Is it safe to eat before a cholesterol test?,medical_query,{}
I want to book a CT scan for in two days,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'in two days'}"
Cancel my  appointment for night April 10th,cancel_test,"{'TIME': 'night', 'DATE': 'April 10th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
I want to book a MRI for evening June 21st,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'evening', 'DATE': 'June 21st'}"
I want to book a thyroid test for evening September 2nd,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'evening', 'DATE': 'September 2nd'}"
How long does a CT scan take?,medical_query,{}
Retrieve my X-ray report from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'July 15th'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for  March 5th,cancel_test,{'DATE': 'March 5th'}
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Is an ultrasound painful?,medical_query,{}
Cancel my  appointment for tomorrow September 2nd,cancel_test,"{'TIME': 'tomorrow', 'DATE': 'September 2nd'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for,cancel_test,{}
Cancel my CT scan appointment for morning,cancel_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'morning'}"
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my ECG appointment for evening August 30th,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'evening', 'DATE': 'August 30th'}"
Cancel my blood test appointment for next month August 30th,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month', 'DATE': 'August 30th'}"
How long does a CT scan take?,medical_query,{}
I want to book a blood test for,book_test,{'TEST_TYPE': 'blood test'}
Cancel my  appointment for  April 10th,cancel_test,{'DATE': 'April 10th'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my  appointment for next month September 2nd,cancel_test,"{'TIME': 'next month', 'DATE': 'September 2nd'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my  appointment for next week July 15th,cancel_test,"{'TIME': 'next week', 'DATE': 'July 15th'}"
How long does a CT scan take?,medical_query,{}
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
Cancel my  appointment for evening July 15th,cancel_test,"{'TIME': 'evening', 'DATE': 'July 15th'}"
Cancel my ultrasound appointment for next week,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week'}"
Cancel my  appointment for afternoon,cancel_test,{'TIME': 'afternoon'}
Can I drink coffee before an ultrasound?,medical_query,{}
I want to book a ultrasound for evening September 2nd,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'evening', 'DATE': 'September 2nd'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my  appointment for evening April 10th,cancel_test,"{'TIME': 'evening', 'DATE': 'April 10th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a MRI for evening,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'evening'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Retrieve my MRI scan from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'August 30th'}"
I want to book a thyroid test for  June 21st,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'June 21st'}"
Retrieve my blood test results from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'June 21st'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a CT scan for tomorrow,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'tomorrow'}"
Cancel my  appointment for in two days September 2nd,cancel_test,"{'TIME': 'in two days', 'DATE': 'September 2nd'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
How long does a CT scan take?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
How long does a CT scan take?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my MRI appointment for  June 21st,cancel_test,"{'TEST_TYPE': 'MRI', 'DATE': 'June 21st'}"
I want to book a X-ray for next week September 2nd,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next week', 'DATE': 'September 2nd'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for,cancel_test,{}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my MRI scan from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'September 2nd'}"
I want to book a blood test for next week,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next week'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a ultrasound for afternoon March 5th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'afternoon', 'DATE': 'March 5th'}"
Cancel my thyroid test appointment for afternoon,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'afternoon'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Do I need to avoid metal objects for an MRI?,medical_query,{}
Retrieve my discharge summary from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'July 15th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my  appointment for next week,cancel_test,{'TIME': 'next week'}
Is an ultrasound painful?,medical_query,{}
I want to book a thyroid test for next month March 5th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next month', 'DATE': 'March 5th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
